Current p53 cistrome Gene Symbol,Gene(s),Peak w/DEGs,Peak w/o DEGs,up,down,Gene,Gene ID,Current p53 cistrome Gene Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXXC5,CXXC5|51523,1,1,,1,CXXC5,51523,CXXC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD14,CD14|929,1,0,1,,CD14,929,CD14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB2,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGB2,56103,PCDHGB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA7,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGA7,56108,PCDHGA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB3,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGB3,56102,PCDHGB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB7,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGB7,56099,PCDHGB7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA6,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGA6,56109,PCDHGA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA2,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGA2,56113,PCDHGA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB5,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGB5,56101,PCDHGB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA4,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGA4,56111,PCDHGA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGB1,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGB1,56104,PCDHGB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGC3,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGC3,5098,PCDHGC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHGA1,PCDHGA10|56106;PCDHGB2|56103;PCDHGB6|56100;PCDHGA7|56108;PCDHGB3|56102;PCDHGB4|8641;PCDHGB7|56099;PCDHGA6|56109;PCDHGA2|56113;PCDHGB5|56101;PCDHGA9|56107;PCDHGA4|56111;PCDHGA8|9708;PCDHGB1|56104;PCDHGA3|56112;PCDHGC3|5098;PCDHGA5|56110;PCDHGA12|26025;PCDHGA11|56105;PCDHGA1|56114,1,0,,1,PCDHGA1,56114,PCDHGA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGF1,FGF1|2246,2,1,2,,FGF1,2246,FGF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRB2,ADRB2|154,2,8,2,,ADRB2,154,ADRB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMN,MIR143HG|728264,1,1,,1,MIR143HG,728264,CARMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPARGC1B,PPARGC1B|133522,1,8,,1,PPARGC1B,133522,PPARGC1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDST1,NDST1|3340,1,5,,1,NDST1,3340,NDST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNPO,SYNPO|11346,1,0,,1,SYNPO,11346,SYNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAXDC2,FAXDC2|10826,2,0,2,,FAXDC2,10826,FAXDC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC101927740,LOC101927740|101927740,1,1,1,,LOC101927740,101927740,LOC101927740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG1,CCNG1|900,6,9,6,,CCNG1,900,CCNG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC1,WWC1|23286,1,2,,1,WWC1,23286,WWC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM196B,FAM196B|100131897,1,6,,1,FAM196B,100131897,FAM196B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH3PXD2B,SH3PXD2B|285590,1,0,,1,SH3PXD2B,285590,SH3PXD2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNIP1,BNIP1|662,1,3,,1,BNIP1,662,BNIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPEB4,CPEB4|80315,4,9,4,,CPEB4,80315,CPEB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSX2,MSX2|4488,3,4,3,,MSX2,4488,MSX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTC-338M12.4,SNORD96A|619571;SNORD95|619570;CTC-338M12.4|101928649;GNB2L1|10399,1,2,1,,CTC-338M12.4,101928649,CTC-338M12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFAP2A,TFAP2A|7020,1,0,1,,TFAP2A,7020,TFAP2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF144B,RNF144B|255488,2,2,2,,RNF144B,255488,RNF144B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBOAT1,MBOAT1|154141,1,5,,1,MBOAT1,154141,MBOAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPOR2,FAM65B|9750,5,8,3,2,FAM65B,9750,RIPOR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM38,TRIM38|10475,4,9,3,1,TRIM38,10475,TRIM38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4B,HIST1H4B|8366,1,7,,1,HIST1H4B,8366,HIST1H4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H1C,HIST1H1C|3006,1,5,1,,HIST1H1C,3006,HIST1H1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BD,HIST1H1E|3008;HIST1H2BD|3017,2,3,2,,HIST1H2BD,3017,HIST1H2BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AG,HIST1H2AG|8969,1,12,1,,HIST1H2AG,8969,HIST1H2AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM26,TRIM26|7726,1,1,1,,TRIM26,7726,TRIM26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUBB,TUBB|203068;MDC1|9656,1,0,,1,TUBB,203068,TUBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDC1,TUBB|203068;MDC1|9656,1,0,,1,MDC1,9656,MDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IER3,IER3|8870;FLOT1|10211,3,8,3,,IER3,8870,IER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDR1,MIR4640|100616237;DDR1|780,5,2,5,,DDR1,780,DDR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIR4640,MIR4640|100616237,2,5,2,,MIR4640,100616237,MIR4640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LY6G5B,LY6G5B|58496;GPANK1|7918,1,0,1,,LY6G5B,58496,LY6G5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMB9,PSMB9|5698;TAP1|6890,2,1,2,,PSMB9,5698,PSMB9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP1,PSMB9|5698;TAP1|6890,4,1,4,,TAP1,6890,TAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100294145,LOC100294145|100294145,1,7,1,,LOC100294145,100294145,LOC100294145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP6K3,IP6K3|117283,1,8,1,,IP6K3,117283,IP6K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAD3,TEAD3|7005,1,3,1,,TEAD3,7005,TEAD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKBP5,FKBP5|2289;ARMC12|221481,1,1,,1,FKBP5,2289,FKBP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETV7,ETV7|51513,3,2,3,,ETV7,51513,ETV7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKN1A,PANDAR|101154753;CDKN1A|1026,13,3,13,,CDKN1A,1026,CDKN1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM217,TMEM217|221468,2,10,2,,TMEM217,221468,TMEM217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6orf226,C6orf226|441150,2,0,2,,C6orf226,441150,C6orf226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTK7,PTK7|5754,1,6,1,,PTK7,5754,PTK7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC101929705,LOC101929705|101929705,2,4,2,,LOC101929705,101929705,LOC101929705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTP4A1,PTP4A1|7803,6,9,6,,PTP4A1,7803,PTP4A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNQ5,KCNQ5|56479,1,1,,1,KCNQ5,56479,KCNQ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM30A,TMEM30A|55754,3,12,3,,TMEM30A,55754,TMEM30A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX18,TBX18|9096,1,0,,1,TBX18,9096,TBX18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACH2,BACH2|60468,1,2,,1,BACH2,60468,BACH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POU3F2,POU3F2|5454,2,0,2,,POU3F2,5454,POU3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAXC,FAXC|84553,1,1,1,,FAXC,84553,FAXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCC3,ASCC3|10973,5,7,4,1,ASCC3,10973,ASCC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK2,GRIK2|2898,1,3,,1,GRIK2,2898,GRIK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRDM1,PRDM1|639,6,10,6,,PRDM1,639,PRDM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SESN1,SESN1|27244,14,1,13,,SESN1,27244,SESN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC16A10,SLC16A10|117247,3,12,2,1,SLC16A10,117247,SLC16A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REV3L,REV3L|5980;TRAF3IP2-AS1|643749,2,14,2,,REV3L,5980,REV3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSE,DSE|29940,1,13,1,,DSE,29940,DSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP85L,CEP85L|387119,2,6,2,,CEP85L,387119,CEP85L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC2A12,SLC2A12|154091,1,5,1,,SLC2A12,154091,SLC2A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP3K5,MAP3K5|4217,1,0,,1,MAP3K5,4217,MAP3K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAT2,PEX3|8504;ADAT2|134637,1,7,,1,ADAT2,134637,ADAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTRN,UTRN|7402,1,7,,1,UTRN,7402,UTRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100507557,LOC100507557|100507557,1,2,,1,LOC100507557,100507557,LOC100507557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASH1,SASH1|23328,1,4,,1,SASH1,23328,SASH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB2,TAB2|23118,1,13,,1,TAB2,23118,TAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPP1R14C,PPP1R14C|81706,2,1,2,,PPP1R14C,81706,PPP1R14C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNJ2,SYNJ2|8871,1,0,1,,SYNJ2,8871,SYNJ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS6KA2,RPS6KA2|6196,2,0,,2,RPS6KA2,6196,RPS6KA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICALL2,MICALL2|79778,1,0,1,,MICALL2,79778,MICALL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELFN1,ELFN1|392617,2,7,2,,ELFN1,392617,ELFN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAD1L1,MAD1L1|8379;NUDT1|4521,3,7,2,1,MAD1L1,8379,MAD1L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPD,ISPD|729920,1,8,1,,ISPD,729920,ISPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSDME,DFNA5|1687,3,0,3,,DFNA5,1687,GSDME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBX3,CBX3|11335,1,0,,1,CBX3,11335,CBX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOXA1,HOXA1|3198,1,0,1,,HOXA1,3198,HOXA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAZF1,JAZF1|221895,3,2,,3,JAZF1,221895,JAZF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100506497,LOC100506497|100506497,1,6,1,,LOC100506497,100506497,LOC100506497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN2,CHN2|1124,1,10,1,,CHN2,1124,CHN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INHBA,INHBA|3624,1,0,,1,INHBA,3624,INHBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM2,CCM2|83605,1,12,1,,CCM2,83605,CCM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP3,IGFBP3|3486,1,0,1,,IGFBP3,3486,IGFBP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTS2,AUTS2|26053,1,2,,1,AUTS2,26053,AUTS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALN1,CALN1|83698,1,6,,1,CALN1,83698,CALN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPS37D,VPS37D|155382,1,0,1,,VPS37D,155382,VPS37D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTPN12,PTPN12|5782,1,6,,1,PTPN12,5782,PTPN12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNAI1,GNAI1|2770,3,10,3,,GNAI1,2770,GNAI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM243,TMEM243|79161,1,1,1,,TMEM243,79161,TMEM243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROT,CROT|54677,1,4,1,,CROT,54677,CROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDK6,CDK6|1021,1,2,,1,CDK6,1021,CDK6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDHAF3,ACN9|57001,1,12,,1,ACN9,57001,SDHAF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYH16,MYH16|84176,2,8,2,,MYH16,84176,MYH16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL3ST4,GAL3ST4|79690,2,1,2,,GAL3ST4,79690,GAL3ST4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATS,GATS|352954,1,0,1,,GATS,352954,GATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERPINE1,SERPINE1|5054,3,5,1,2,SERPINE1,5054,SERPINE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2E-AS1,KMT2E-AS1|100216545;KMT2E|55904,2,3,2,,KMT2E-AS1,100216545,KMT2E-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2E,KMT2E-AS1|100216545;KMT2E|55904,2,3,,2,KMT2E,55904,KMT2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRCAM,NRCAM|4897,1,0,1,,NRCAM,4897,NRCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM168,TMEM168|64418,1,6,1,,TMEM168,64418,TMEM168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAV1,CAV1|857,1,1,1,,CAV1,857,CAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100506860,LOC100506860|100506860,1,0,1,,LOC100506860,100506860,LOC100506860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PODXL,PODXL|5420,1,0,1,,PODXL,5420,PODXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR1B15,AKR1B15|441282,1,6,1,,AKR1B15,441282,AKR1B15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALD1,CALD1|800,2,5,2,,CALD1,800,CALD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRM2,CHRM2|1129,1,3,,1,CHRM2,1129,CHRM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZC3HAV1,ZC3HAV1|56829,2,6,2,,ZC3HAV1,56829,ZC3HAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNTNAP2,CNTNAP2|26047,1,0,,1,CNTNAP2,26047,CNTNAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
